date,routine,exercise,sets,reps,weight,volume
2026-09-09,Chest,Incline Dumbbell Press,3,10,20,600
2026-09-09,Chest,Machine Chest Press,3,10,45,1350
2026-09-10,Back,Lat Pulldown,3,12,45,1620
2026-09-10,Back,Seated Cable Row,3,10,42.5,1275
2026-09-12,Shoulders,Dumbbell Shoulder Press,3,10,18,540
2026-09-12,Shoulders,Lateral Raise,3,12,8,288
2026-09-15,Chest,Incline Dumbbell Press,3,10,22.5,675
2026-09-15,Chest,Machine Chest Press,3,10,47.5,1425
2026-09-17,Back,Lat Pulldown,3,10,47.5,1425
2026-09-17,Back,Seated Cable Row,3,10,42.5,1275
2026-09-19,Shoulders,Dumbbell Shoulder Press,3,10,20,600
2026-09-19,Shoulders,Lateral Raise,3,12,8,288
2026-09-21,Chest,Incline Dumbbell Press,3,10,24,720
2026-09-21,Chest,Machine Chest Press,3,10,47.5,1425
2026-09-22,Back,Lat Pulldown,3,10,50,1500
2026-09-22,Back,Seated Cable Row,3,10,42.5,1275
